0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/css/lib/datatable/dataTables.bootstrap.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/client/js/jquery.min.js HTTP/1.1" 200 85580
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/main.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/datatables.min.js HTTP/1.1" 200 216168
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.bootstrap.min.js HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.buttons.min.js HTTP/1.1" 200 16036
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.bootstrap.min.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/jszip.min.js HTTP/1.1" 200 76985
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.html5.min.js HTTP/1.1" 200 23130
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.print.min.js HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.colVis.min.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/fileinput.min.js HTTP/1.1" 200 125720
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/lib/zh.js HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/assets/js/init/datatables-init.js HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/images/mylogo.png HTTP/1.1" 200 3996
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/images/logo2.png HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/admin/images/dhead.png HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/client/img/drink/drink1.jpg HTTP/1.1" 200 29219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/client/img/drink/drink5.png HTTP/1.1" 200 578686
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/client/img/drink/a97d3248-a4b4-4a93-8974-c02df11bfaef.jpg HTTP/1.1" 200 34388
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:03 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:04 +0800] "GET /Persephone/admin/images/drinkdft.png HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:04 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:22 +0800] "GET /Persephone/admin/assets/css/img/loading.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:39 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56049
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:39 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:39:39 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:41:37 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56075
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:41:37 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:41:37 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56073
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/css/cs-skin-elastic.css HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/css/style.css HTTP/1.1" 200 62772
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/css/drinktable.css HTTP/1.1" 200 725
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/css/lib/fileinput.min.css HTTP/1.1" 200 9219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/css/lib/theme.min.css HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/css/lib/datatable/dataTables.bootstrap.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/client/js/jquery.min.js HTTP/1.1" 200 85580
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/main.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/datatables.min.js HTTP/1.1" 200 216168
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.bootstrap.min.js HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.buttons.min.js HTTP/1.1" 200 16036
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.bootstrap.min.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/jszip.min.js HTTP/1.1" 200 76985
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.html5.min.js HTTP/1.1" 200 23130
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.print.min.js HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.colVis.min.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/fileinput.min.js HTTP/1.1" 200 125720
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/lib/zh.js HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/assets/js/init/datatables-init.js HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/images/mylogo.png HTTP/1.1" 200 3996
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/images/logo2.png HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/images/dhead.png HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/client/img/drink/drink1.jpg HTTP/1.1" 200 29219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/client/img/drink/a97d3248-a4b4-4a93-8974-c02df11bfaef.jpg HTTP/1.1" 200 34388
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/client/img/drink/drink5.png HTTP/1.1" 200 578686
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /Persephone/admin/images/drinkdft.png HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:42:00 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56279
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/css/cs-skin-elastic.css HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/css/style.css HTTP/1.1" 200 62772
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/css/lib/theme.min.css HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/css/lib/fileinput.min.css HTTP/1.1" 200 9219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/css/drinktable.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/css/lib/datatable/dataTables.bootstrap.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/client/js/jquery.min.js HTTP/1.1" 200 85580
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/main.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.bootstrap.min.js HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/datatables.min.js HTTP/1.1" 200 216168
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.buttons.min.js HTTP/1.1" 200 16036
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.bootstrap.min.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.html5.min.js HTTP/1.1" 200 23130
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/jszip.min.js HTTP/1.1" 200 76985
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.print.min.js HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.colVis.min.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/fileinput.min.js HTTP/1.1" 200 125720
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/lib/zh.js HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/assets/js/init/datatables-init.js HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/images/logo2.png HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/images/mylogo.png HTTP/1.1" 200 3996
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/images/dhead.png HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/client/img/drink/drink1.jpg HTTP/1.1" 200 29219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/client/img/drink/a97d3248-a4b4-4a93-8974-c02df11bfaef.jpg HTTP/1.1" 200 34388
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/client/img/drink/drink5.png HTTP/1.1" 200 578686
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /Persephone/admin/images/drinkdft.png HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:45:05 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56288
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/css/cs-skin-elastic.css HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/css/style.css HTTP/1.1" 200 62772
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/css/drinktable.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/css/lib/theme.min.css HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/css/lib/fileinput.min.css HTTP/1.1" 200 9219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/css/lib/datatable/dataTables.bootstrap.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/client/js/jquery.min.js HTTP/1.1" 200 85580
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/main.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.bootstrap.min.js HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/datatables.min.js HTTP/1.1" 200 216168
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.buttons.min.js HTTP/1.1" 200 16036
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.bootstrap.min.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/jszip.min.js HTTP/1.1" 200 76985
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.html5.min.js HTTP/1.1" 200 23130
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.print.min.js HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.colVis.min.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/fileinput.min.js HTTP/1.1" 200 125720
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/lib/zh.js HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/images/mylogo.png HTTP/1.1" 200 3996
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/assets/js/init/datatables-init.js HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/images/logo2.png HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/admin/images/dhead.png HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/client/img/drink/drink1.jpg HTTP/1.1" 200 29219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/client/img/drink/a97d3248-a4b4-4a93-8974-c02df11bfaef.jpg HTTP/1.1" 200 34388
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:53 +0800] "GET /Persephone/client/img/drink/drink5.png HTTP/1.1" 200 578686
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:54 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:54 +0800] "GET /Persephone/admin/images/drinkdft.png HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:46:54 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56328
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/css/cs-skin-elastic.css HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/css/style.css HTTP/1.1" 200 62772
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/css/drinktable.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/css/lib/theme.min.css HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/css/lib/fileinput.min.css HTTP/1.1" 200 9219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/css/lib/datatable/dataTables.bootstrap.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/client/js/jquery.min.js HTTP/1.1" 200 85580
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/main.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.bootstrap.min.js HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/datatables.min.js HTTP/1.1" 200 216168
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.bootstrap.min.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.buttons.min.js HTTP/1.1" 200 16036
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/jszip.min.js HTTP/1.1" 200 76985
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.html5.min.js HTTP/1.1" 200 23130
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.print.min.js HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.colVis.min.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/fileinput.min.js HTTP/1.1" 200 125720
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/lib/zh.js HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/assets/js/init/datatables-init.js HTTP/1.1" 200 2973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/images/logo2.png HTTP/1.1" 200 8184
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/images/mylogo.png HTTP/1.1" 200 3996
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/images/dhead.png HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/client/img/drink/drink1.jpg HTTP/1.1" 200 29219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/client/img/drink/a97d3248-a4b4-4a93-8974-c02df11bfaef.jpg HTTP/1.1" 200 34388
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/client/img/drink/drink5.png HTTP/1.1" 200 578686
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/client/img// HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /Persephone/admin/images/drinkdft.png HTTP/1.1" 200 3175
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:47:37 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/showAllDrink HTTP/1.1" 200 56378
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/css/cs-skin-elastic.css HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/css/style.css HTTP/1.1" 200 62772
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/css/drinktable.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/css/lib/fileinput.min.css HTTP/1.1" 200 9219
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/css/lib/datatable/dataTables.bootstrap.min.css HTTP/1.1" 200 5033
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/css/lib/theme.min.css HTTP/1.1" 200 3116
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/client/js/jquery.min.js HTTP/1.1" 200 85580
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/main.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/datatables.min.js HTTP/1.1" 200 216168
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.bootstrap.min.js HTTP/1.1" 200 2069
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/dataTables.buttons.min.js HTTP/1.1" 200 16036
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.bootstrap.min.js HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/jszip.min.js HTTP/1.1" 200 76985
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.html5.min.js HTTP/1.1" 200 23130
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.print.min.js HTTP/1.1" 200 1832
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/data-table/buttons.colVis.min.js HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:01 +0800] "GET /Persephone/admin/assets/js/lib/fileinput.min.js HTTP/1.1" 200 125720
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:02 +0800] "GET /Persephone/admin/assets/js/lib/zh.js HTTP/1.1" 200 5587
0:0:0:0:0:0:0:1 - - [02/Jul/2020:09:53:02 +0800] "GET /Persephone/admin/assets/js/init/datatables-init.js HTTP/1.1" 200 2973
